id number,first name,last name,grade,school,district,dist_code,sys_id,pathway,WBL Participant
39481,Halee,Rice,10,james gordon center for learning,gotham city public schools,gcps,gcps39481,healthcare,yes
37265,Shellie,Hopkins,9,james gordon center for learning,gotham city public schools,gcps,gcps37265,,yes
60513,Moses,Solomon,10,lucius fox high school,gotham city public schools,gcps,gcps60513,healthcare,yes
43758,Macon,Hewitt,12,james gordon center for learning,gotham city public schools,gcps,gcps43758,healthcare,yes
71800,Jenette,Jimenez,12,lost boys academy,neverland public schools,nps,nps71800,,no
32657,Chanda,Shaffer,11,lost boys academy,neverland public schools,nps,nps32657,,no
41126,Felix,Perkins,9,captain hook high school,neverland public schools,nps,nps41126,manufacturing,yes
75026,Cedric,Moss,11,lucius fox high school,gotham city public schools,gcps,gcps75026,healthcare,yes
44509,Cailin,Russell,11,lost boys academy,neverland public schools,nps,nps44509,manufacturing,yes
66859,Sara,Garrison,10,james gordon center for learning,gotham city public schools,gcps,gcps66859,,yes
30153,Joshua,Greer,11,lost boys academy,neverland public schools,nps,nps30153,,yes
78598,Ebony,Garrison,10,james gordon center for learning,gotham city public schools,gcps,gcps78598,healthcare,yes
25531,Erasmus,Drake,9,captain hook high school,neverland public schools,nps,nps25531,manufacturing,yes
67538,Cynthia,Cohen,12,lost boys academy,neverland public schools,nps,nps67538,manufacturing,yes
50121,Joseph,Glenn,11,lucius fox high school,gotham city public schools,gcps,gcps50121,healthcare,yes
83147,Jaime,Avery,11,lost boys academy,neverland public schools,nps,nps83147,,no
38972,Nero,Macdonald,11,lost boys academy,neverland public schools,nps,nps38972,manufacturing,no
28447,Elliott,Rosales,11,lucius fox high school,gotham city public schools,gcps,gcps28447,healthcare,yes
99154,Gregory,Hall,10,captain hook high school,neverland public schools,nps,nps99154,manufacturing,yes
49875,Halee,Case,9,captain hook high school,neverland public schools,nps,nps49875,manufacturing,yes
12062,Tanner,Klein,12,lost boys academy,neverland public schools,nps,nps12062,,yes
34490,Cara,Combs,11,lucius fox high school,gotham city public schools,gcps,gcps34490,,yes
37870,Patience,Mueller,10,lucius fox high school,gotham city public schools,gcps,gcps37870,healthcare,no
54203,Brittany,Webb,12,captain hook high school,neverland public schools,nps,nps54203,manufacturing,yes
34160,Cody,Edwards,11,captain hook high school,neverland public schools,nps,nps34160,manufacturing,yes
70627,Armand,Nunez,11,lost boys academy,neverland public schools,nps,nps70627,manufacturing,yes
56356,Sharon,Myers,11,lost boys academy,neverland public schools,nps,nps56356,,no
76226,Steel,Cameron,10,captain hook high school,neverland public schools,nps,nps76226,,yes
95587,Geraldine,Ross,9,james gordon center for learning,gotham city public schools,gcps,gcps95587,healthcare,yes
87997,Magee,Austin,12,lost boys academy,neverland public schools,nps,nps87997,,no
19290,Gil,Shepard,12,captain hook high school,neverland public schools,nps,nps19290,,yes
97570,Shelly,Hill,10,lucius fox high school,gotham city public schools,gcps,gcps97570,healthcare,no
55757,Vielka,Russell,12,lucius fox high school,gotham city public schools,gcps,gcps55757,,no
88182,Penelope,Powers,9,captain hook high school,neverland public schools,nps,nps88182,,yes
21636,Marsden,Mckay,9,lost boys academy,neverland public schools,nps,nps21636,manufacturing,yes
81097,Shaine,Hinton,11,lost boys academy,neverland public schools,nps,nps81097,,no
49883,Ralph,Burnett,11,lucius fox high school,gotham city public schools,gcps,gcps49883,healthcare,yes
27211,Rafael,Pugh,9,captain hook high school,neverland public schools,nps,nps27211,,yes
30149,Barrett,Walters,12,captain hook high school,neverland public schools,nps,nps30149,manufacturing,yes
80954,Yvette,Vincent,10,james gordon center for learning,gotham city public schools,gcps,gcps80954,,yes
46473,Courtney,Mason,11,captain hook high school,neverland public schools,nps,nps46473,,yes
19758,William,Key,9,james gordon center for learning,gotham city public schools,gcps,gcps19758,,yes
21458,Jakeem,O'donnell,10,lost boys academy,neverland public schools,nps,nps21458,manufacturing,yes
74211,Rahim,Ayala,9,james gordon center for learning,gotham city public schools,gcps,gcps74211,,yes
88346,Henry,Buckley,10,lucius fox high school,gotham city public schools,gcps,gcps88346,healthcare,yes
88317,Leandra,Mcleod,9,james gordon center for learning,gotham city public schools,gcps,gcps88317,,yes
71635,Harper,Le,9,lucius fox high school,gotham city public schools,gcps,gcps71635,,no
58880,Knox,Lee,10,captain hook high school,neverland public schools,nps,nps58880,manufacturing,yes
30648,Dana,Cortez,12,captain hook high school,neverland public schools,nps,nps30648,,yes
86341,Brenda,Ortiz,10,james gordon center for learning,gotham city public schools,gcps,gcps86341,healthcare,yes
20043,Signe,Gentry,11,lost boys academy,neverland public schools,nps,nps20043,manufacturing,yes
90312,Risa,Irwin,12,lucius fox high school,gotham city public schools,gcps,gcps90312,,yes
72944,Yoshi,Bolton,11,captain hook high school,neverland public schools,nps,nps72944,,no
94067,Kirk,Booth,10,lucius fox high school,gotham city public schools,gcps,gcps94067,,yes
86642,Baxter,Becker,9,lucius fox high school,gotham city public schools,gcps,gcps86642,healthcare,yes
61498,Keane,Douglas,10,lucius fox high school,gotham city public schools,gcps,gcps61498,,yes
70007,Clayton,Page,10,lucius fox high school,gotham city public schools,gcps,gcps70007,,yes
41062,Vaughan,Neal,12,james gordon center for learning,gotham city public schools,gcps,gcps41062,,yes
81695,Emerson,Whitfield,12,lost boys academy,neverland public schools,nps,nps81695,manufacturing,yes
49706,Hiram,Wilson,11,lucius fox high school,gotham city public schools,gcps,gcps49706,,yes
67375,Keane,Rowland,10,captain hook high school,neverland public schools,nps,nps67375,,yes
29759,Zephr,Rogers,12,james gordon center for learning,gotham city public schools,gcps,gcps29759,,yes
86827,Gareth,Clements,10,lost boys academy,neverland public schools,nps,nps86827,manufacturing,yes
21924,Rhea,Kinney,12,lucius fox high school,gotham city public schools,gcps,gcps21924,healthcare,yes
58440,John,Lynn,9,lost boys academy,neverland public schools,nps,nps58440,,yes
20912,Mariam,Cross,10,james gordon center for learning,gotham city public schools,gcps,gcps20912,healthcare,yes
57307,Claudia,Thompson,9,lost boys academy,neverland public schools,nps,nps57307,,no
96316,Armando,Espinoza,9,lucius fox high school,gotham city public schools,gcps,gcps96316,healthcare,yes
71632,Yvette,Ray,10,lost boys academy,neverland public schools,nps,nps71632,,yes
14079,Melyssa,Osborn,10,lost boys academy,neverland public schools,nps,nps14079,manufacturing,yes
93797,Zachary,Alexander,10,james gordon center for learning,gotham city public schools,gcps,gcps93797,healthcare,yes
87969,Eaton,Pace,11,lost boys academy,neverland public schools,nps,nps87969,,yes
20630,Maggie,Navarro,11,lucius fox high school,gotham city public schools,gcps,gcps20630,healthcare,no
