id number,first name,last name,grade,school,district,dist_code,sys_id,pathway,WBL_Event_Count
39481,Halee,Rice,10,james gordon center for learning,gotham city public schools,gcps,gcps39481,healthcare,3
37265,Shellie,Hopkins,9,james gordon center for learning,gotham city public schools,gcps,gcps37265,,1
60513,Moses,Solomon,10,lucius fox high school,gotham city public schools,gcps,gcps60513,healthcare,2
43758,Macon,Hewitt,12,james gordon center for learning,gotham city public schools,gcps,gcps43758,healthcare,1
71800,Jenette,Jimenez,12,lost boys academy,neverland public schools,nps,nps71800,,0
32657,Chanda,Shaffer,11,lost boys academy,neverland public schools,nps,nps32657,,0
41126,Felix,Perkins,9,captain hook high school,neverland public schools,nps,nps41126,manufacturing,4
75026,Cedric,Moss,11,lucius fox high school,gotham city public schools,gcps,gcps75026,healthcare,2
44509,Cailin,Russell,11,lost boys academy,neverland public schools,nps,nps44509,manufacturing,1
66859,Sara,Garrison,10,james gordon center for learning,gotham city public schools,gcps,gcps66859,,1
30153,Joshua,Greer,11,lost boys academy,neverland public schools,nps,nps30153,,1
78598,Ebony,Garrison,10,james gordon center for learning,gotham city public schools,gcps,gcps78598,healthcare,1
25531,Erasmus,Drake,9,captain hook high school,neverland public schools,nps,nps25531,manufacturing,1
67538,Cynthia,Cohen,12,lost boys academy,neverland public schools,nps,nps67538,manufacturing,3
50121,Joseph,Glenn,11,lucius fox high school,gotham city public schools,gcps,gcps50121,healthcare,3
83147,Jaime,Avery,11,lost boys academy,neverland public schools,nps,nps83147,,0
38972,Nero,Macdonald,11,lost boys academy,neverland public schools,nps,nps38972,manufacturing,0
28447,Elliott,Rosales,11,lucius fox high school,gotham city public schools,gcps,gcps28447,healthcare,3
99154,Gregory,Hall,10,captain hook high school,neverland public schools,nps,nps99154,manufacturing,3
49875,Halee,Case,9,captain hook high school,neverland public schools,nps,nps49875,manufacturing,6
12062,Tanner,Klein,12,lost boys academy,neverland public schools,nps,nps12062,,3
34490,Cara,Combs,11,lucius fox high school,gotham city public schools,gcps,gcps34490,,4
37870,Patience,Mueller,10,lucius fox high school,gotham city public schools,gcps,gcps37870,healthcare,0
54203,Brittany,Webb,12,captain hook high school,neverland public schools,nps,nps54203,manufacturing,3
34160,Cody,Edwards,11,captain hook high school,neverland public schools,nps,nps34160,manufacturing,1
70627,Armand,Nunez,11,lost boys academy,neverland public schools,nps,nps70627,manufacturing,8
56356,Sharon,Myers,11,lost boys academy,neverland public schools,nps,nps56356,,0
76226,Steel,Cameron,10,captain hook high school,neverland public schools,nps,nps76226,,1
95587,Geraldine,Ross,9,james gordon center for learning,gotham city public schools,gcps,gcps95587,healthcare,1
87997,Magee,Austin,12,lost boys academy,neverland public schools,nps,nps87997,,0
19290,Gil,Shepard,12,captain hook high school,neverland public schools,nps,nps19290,,3
97570,Shelly,Hill,10,lucius fox high school,gotham city public schools,gcps,gcps97570,healthcare,0
55757,Vielka,Russell,12,lucius fox high school,gotham city public schools,gcps,gcps55757,,0
88182,Penelope,Powers,9,captain hook high school,neverland public schools,nps,nps88182,,1
21636,Marsden,Mckay,9,lost boys academy,neverland public schools,nps,nps21636,manufacturing,2
81097,Shaine,Hinton,11,lost boys academy,neverland public schools,nps,nps81097,,0
49883,Ralph,Burnett,11,lucius fox high school,gotham city public schools,gcps,gcps49883,healthcare,2
27211,Rafael,Pugh,9,captain hook high school,neverland public schools,nps,nps27211,,1
30149,Barrett,Walters,12,captain hook high school,neverland public schools,nps,nps30149,manufacturing,4
80954,Yvette,Vincent,10,james gordon center for learning,gotham city public schools,gcps,gcps80954,,1
46473,Courtney,Mason,11,captain hook high school,neverland public schools,nps,nps46473,,3
19758,William,Key,9,james gordon center for learning,gotham city public schools,gcps,gcps19758,,1
21458,Jakeem,O'donnell,10,lost boys academy,neverland public schools,nps,nps21458,manufacturing,1
74211,Rahim,Ayala,9,james gordon center for learning,gotham city public schools,gcps,gcps74211,,1
88346,Henry,Buckley,10,lucius fox high school,gotham city public schools,gcps,gcps88346,healthcare,2
88317,Leandra,Mcleod,9,james gordon center for learning,gotham city public schools,gcps,gcps88317,,1
71635,Harper,Le,9,lucius fox high school,gotham city public schools,gcps,gcps71635,,0
58880,Knox,Lee,10,captain hook high school,neverland public schools,nps,nps58880,manufacturing,3
30648,Dana,Cortez,12,captain hook high school,neverland public schools,nps,nps30648,,2
86341,Brenda,Ortiz,10,james gordon center for learning,gotham city public schools,gcps,gcps86341,healthcare,3
20043,Signe,Gentry,11,lost boys academy,neverland public schools,nps,nps20043,manufacturing,2
90312,Risa,Irwin,12,lucius fox high school,gotham city public schools,gcps,gcps90312,,3
72944,Yoshi,Bolton,11,captain hook high school,neverland public schools,nps,nps72944,,0
94067,Kirk,Booth,10,lucius fox high school,gotham city public schools,gcps,gcps94067,,3
86642,Baxter,Becker,9,lucius fox high school,gotham city public schools,gcps,gcps86642,healthcare,2
61498,Keane,Douglas,10,lucius fox high school,gotham city public schools,gcps,gcps61498,,3
70007,Clayton,Page,10,lucius fox high school,gotham city public schools,gcps,gcps70007,,3
41062,Vaughan,Neal,12,james gordon center for learning,gotham city public schools,gcps,gcps41062,,1
81695,Emerson,Whitfield,12,lost boys academy,neverland public schools,nps,nps81695,manufacturing,5
49706,Hiram,Wilson,11,lucius fox high school,gotham city public schools,gcps,gcps49706,,2
67375,Keane,Rowland,10,captain hook high school,neverland public schools,nps,nps67375,,2
29759,Zephr,Rogers,12,james gordon center for learning,gotham city public schools,gcps,gcps29759,,1
86827,Gareth,Clements,10,lost boys academy,neverland public schools,nps,nps86827,manufacturing,2
21924,Rhea,Kinney,12,lucius fox high school,gotham city public schools,gcps,gcps21924,healthcare,4
58440,John,Lynn,9,lost boys academy,neverland public schools,nps,nps58440,,3
20912,Mariam,Cross,10,james gordon center for learning,gotham city public schools,gcps,gcps20912,healthcare,2
57307,Claudia,Thompson,9,lost boys academy,neverland public schools,nps,nps57307,,0
96316,Armando,Espinoza,9,lucius fox high school,gotham city public schools,gcps,gcps96316,healthcare,3
71632,Yvette,Ray,10,lost boys academy,neverland public schools,nps,nps71632,,5
14079,Melyssa,Osborn,10,lost boys academy,neverland public schools,nps,nps14079,manufacturing,2
93797,Zachary,Alexander,10,james gordon center for learning,gotham city public schools,gcps,gcps93797,healthcare,1
87969,Eaton,Pace,11,lost boys academy,neverland public schools,nps,nps87969,,2
20630,Maggie,Navarro,11,lucius fox high school,gotham city public schools,gcps,gcps20630,healthcare,0
55707,Jaquelyn,Kim,12,captain hook high school,neverland public schools,nps,nps55707,,3
53427,Wayne,Michael,12,lucius fox high school,gotham city public schools,gcps,gcps53427,healthcare,4
17291,Cynthia,Sims,10,james gordon center for learning,gotham city public schools,gcps,gcps17291,healthcare,1
26914,Drake,Carter,9,lost boys academy,neverland public schools,nps,nps26914,manufacturing,3
90029,Oliver,Summers,10,lucius fox high school,gotham city public schools,gcps,gcps90029,,1
52536,Nora,Booker,12,lost boys academy,neverland public schools,nps,nps52536,manufacturing,3
25720,Keely,Merritt,10,captain hook high school,neverland public schools,nps,nps25720,manufacturing,1
53337,Dalton,Cook,12,lucius fox high school,gotham city public schools,gcps,gcps53337,,0
51909,Declan,Park,10,lost boys academy,neverland public schools,nps,nps51909,,1
35975,Lila,Klein,11,lost boys academy,neverland public schools,nps,nps35975,,0
31860,Nelle,Bird,12,lost boys academy,neverland public schools,nps,nps31860,manufacturing,3
19427,Kelly,David,11,lucius fox high school,gotham city public schools,gcps,gcps19427,,0
67547,Ebony,Watts,12,captain hook high school,neverland public schools,nps,nps67547,manufacturing,4
84350,Carly,Duran,12,james gordon center for learning,gotham city public schools,gcps,gcps84350,,3
12153,Linus,Vang,11,lucius fox high school,gotham city public schools,gcps,gcps12153,healthcare,3
94664,Allen,Terry,10,lost boys academy,neverland public schools,nps,nps94664,,0
61055,Sophia,Lowe,10,lucius fox high school,gotham city public schools,gcps,gcps61055,,2
99229,Helen,Jordan,10,captain hook high school,neverland public schools,nps,nps99229,,1
34894,Hasad,Salazar,11,captain hook high school,neverland public schools,nps,nps34894,,5
74160,Suki,Phelps,12,lost boys academy,neverland public schools,nps,nps74160,,2
44405,Haviva,Drake,10,captain hook high school,neverland public schools,nps,nps44405,,4
20698,Rae,Aguirre,11,captain hook high school,neverland public schools,nps,nps20698,manufacturing,2
90369,Hadley,Hardin,12,james gordon center for learning,gotham city public schools,gcps,gcps90369,healthcare,1
26579,Tobias,Beck,12,james gordon center for learning,gotham city public schools,gcps,gcps26579,,0
44861,Raymond,Wilkerson,12,lucius fox high school,gotham city public schools,gcps,gcps44861,healthcare,3
52141,Richard,Davidson,9,lost boys academy,neverland public schools,nps,nps52141,,1
62964,Colette,Solomon,12,captain hook high school,neverland public schools,nps,nps62964,,0
76313,Sopoline,Edwards,12,lost boys academy,neverland public schools,nps,nps76313,manufacturing,2
12619,Alea,Schroeder,12,lost boys academy,neverland public schools,nps,nps12619,manufacturing,2
93297,Kylynn,William,10,lucius fox high school,gotham city public schools,gcps,gcps93297,,1
12615,Melodie,Charles,12,captain hook high school,neverland public schools,nps,nps12615,manufacturing,2
74845,Jordan,Daniel,12,captain hook high school,neverland public schools,nps,nps74845,manufacturing,1
91924,Maggy,Sellers,10,captain hook high school,neverland public schools,nps,nps91924,manufacturing,2
52019,Yoshio,Donaldson,12,captain hook high school,neverland public schools,nps,nps52019,manufacturing,1
36604,Garrett,Hays,12,james gordon center for learning,gotham city public schools,gcps,gcps36604,healthcare,2
86285,Tallulah,Tillman,10,lucius fox high school,gotham city public schools,gcps,gcps86285,,1
65604,Unity,Vaughan,10,james gordon center for learning,gotham city public schools,gcps,gcps65604,healthcare,1
59600,Andrew,Boyd,9,lucius fox high school,gotham city public schools,gcps,gcps59600,,2
46946,Roary,Castaneda,9,captain hook high school,neverland public schools,nps,nps46946,manufacturing,3
89226,Ethan,Chan,10,lost boys academy,neverland public schools,nps,nps89226,manufacturing,3
55842,Xandra,Hart,11,lucius fox high school,gotham city public schools,gcps,gcps55842,healthcare,4
82206,Cherokee,Schroeder,11,lost boys academy,neverland public schools,nps,nps82206,,0
98514,Alana,Gillespie,12,lost boys academy,neverland public schools,nps,nps98514,,2
99254,Magee,Parks,9,lost boys academy,neverland public schools,nps,nps99254,manufacturing,5
15954,Yeo,Sargent,9,captain hook high school,neverland public schools,nps,nps15954,,2
